Wii Sports,2006,Sports,Wii
Super Mario Bros.,1985,Platform,NES
Mario Kart Wii,2008,Racing,Wii
Wii Sports Resort,2009,Sports,Wii
Pokemon Red/Pokemon Blue,1996,Role-Playing,GB
Tetris,1989,Puzzle,GB
New Super Mario Bros.,2006,Platform,DS
Wii Play,2006,Misc,Wii
New Super Mario Bros. Wii,2009,Platform,Wii
Duck Hunt,1984,Shooter,NES
Nintendogs,2005,Simulation,DS
Mario Kart DS,2005,Racing,DS
Pokemon Gold/Pokemon Silver,1999,Role-Playing,GB
Wii Fit,2007,Sports,Wii
Wii Fit Plus,2009,Sports,Wii
Kinect Adventures!,2010,Misc,X360
Grand Theft Auto V,2013,Action,PS3
Grand Theft Auto: San Andreas,2004,Action,PS2
Super Mario World,1990,Platform,SNES
Brain Age: Train Your Brain in Minutes a Day,2005,Misc,DS
Pokemon Diamond/Pokemon Pearl,2006,Role-Playing,DS
Super Mario Land,1989,Platform,GB
Super Mario Bros. 3,1988,Platform,NES
Grand Theft Auto V,2013,Action,X360
Grand Theft Auto: Vice City,2002,Action,PS2
Pokemon Ruby/Pokemon Sapphire,2002,Role-Playing,GBA
Pokemon Black/Pokemon White,2010,Role-Playing,DS
Brain Age 2: More Training in Minutes a Day,2005,Puzzle,DS
Gran Turismo 3: A-Spec,2001,Racing,PS2
Call of Duty: Modern Warfare 3,2011,Shooter,X360
Pokémon Yellow: Special Pikachu Edition,1998,Role-Playing,GB
Call of Duty: Black Ops,2010,Shooter,X360
Pokemon X/Pokemon Y,2013,Role-Playing,3DS
Call of Duty: Black Ops 3,2015,Shooter,PS4
Call of Duty: Black Ops II,2012,Shooter,PS3
Call of Duty: Black Ops II,2012,Shooter,X360
Call of Duty: Modern Warfare 2,2009,Shooter,X360
Call of Duty: Modern Warfare 3,2011,Shooter,PS3
Grand Theft Auto III,2001,Action,PS2
Super Smash Bros. Brawl,2008,Fighting,Wii
Call of Duty: Black Ops,2010,Shooter,PS3
Animal Crossing: Wild World,2005,Simulation,DS
Mario Kart 7,2011,Racing,3DS
Halo 3,2007,Shooter,X360
Grand Theft Auto V,2014,Action,PS4
Pokemon HeartGold/Pokemon SoulSilver,2009,Action,DS
Super Mario 64,1996,Platform,N64
Gran Turismo 4,2004,Racing,PS2
Super Mario Galaxy,2007,Platform,Wii
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,3DS
Super Mario Land 2: 6 Golden Coins,1992,Adventure,GB
Grand Theft Auto IV,2008,Action,X360
Gran Turismo,1997,Racing,PS
Super Mario 3D Land,2011,Platform,3DS
Gran Turismo 5,2010,Racing,PS3
Call of Duty: Modern Warfare 2,2009,Shooter,PS3
Grand Theft Auto IV,2008,Action,PS3
Super Mario All-Stars,1993,Platform,SNES
Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,GBA
Super Mario 64,2004,Platform,DS
Just Dance 3,2011,Misc,Wii
Call of Duty: Ghosts,2013,Shooter,X360
Halo: Reach,2010,Shooter,X360
Mario Kart 64,1996,Racing,N64
New Super Mario Bros. 2,2012,Platform,3DS
Halo 4,2012,Shooter,X360
Final Fantasy VII,1997,Role-Playing,PS
Call of Duty: Ghosts,2013,Shooter,PS3
Just Dance 2,2010,Misc,Wii
Gran Turismo 2,1999,Racing,PS
Call of Duty 4: Modern Warfare,2007,Shooter,X360
Donkey Kong Country,1994,Platform,SNES
Minecraft,2013,Misc,X360
Animal Crossing: New Leaf,2012,Simulation,3DS
Mario Party DS,2007,Misc,DS
The Elder Scrolls V: Skyrim,2011,Role-Playing,X360
Super Mario Kart,1992,Racing,SNES
FIFA 16,2015,Sports,PS4
Wii Party,2010,Misc,Wii
Halo 2,2004,Shooter,XB
Mario Party 8,2007,Misc,Wii
Pokemon Black 2/Pokemon White 2,2012,Role-Playing,DS
FIFA Soccer 13,2012,Action,PS3
The Sims 3,2009,Simulation,PC
GoldenEye 007,1997,Shooter,N64
Mario & Sonic at the Olympic Games,2007,Sports,Wii
Final Fantasy X,2001,Role-Playing,PS2
Final Fantasy VIII,1999,Role-Playing,PS
Pokémon Platinum Version,2008,Role-Playing,DS
Pac-Man,1982,Puzzle,2600
Grand Theft Auto: Liberty City Stories,2005,Action,PSP
Super Mario Galaxy 2,2010,Platform,Wii
Star Wars Battlefront (2015),2015,Shooter,PS4
Call of Duty: Advanced Warfare,2014,Shooter,PS4
The Legend of Zelda: Ocarina of Time,1998,Action,N64
Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,PS
Super Mario Bros. 2,1988,Platform,NES
Super Smash Bros. for Wii U and 3DS,2014,Fighting,3DS
Call of Duty: World at War,2008,Shooter,X360
Battlefield 3,2011,Shooter,X360
The Legend of Zelda: Twilight Princess,2006,Action,Wii
Call of Duty: Black Ops 3,2015,Shooter,XOne
Just Dance,2009,Misc,Wii
Battlefield 3,2011,Shooter,PS3
Need for Speed Underground,2003,Racing,PS2
